NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,normalized_name_nmr,matched_name,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,normalized_name_f100,JUST_CAPITALS_JUST_100_RANK,Company,Industry,normalized_name_jc100,POINTS_OF_LIGHT_CIVIC_50,normalized_name_c50
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,75.0,Apple Inc,Technology Hardware,apple,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,78.0,Humana Inc,Health Care Providers,humana,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,82.0,Cummins Inc,Commercial Vehicles & Machinery,cummins,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,83.0,Ball Corp,Industrial Goods,ball,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,85.0,RTX Corp,Aerospace & Defense,rtx,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,86.0,The Allstate Corporation,Insurance,the allstate,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,89.0,Constellation Energy Corporation,Utilities,constellation energy,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,90.0,Workday Inc,Software,workday,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,94.0,Colgate-Palmolive Company,Personal Products,colgatepalmolive,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,95.0,Capital One Financial Corporation,Transaction Processing,capital one financial,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,97.0,Starbucks Corporation,Restaurants & Leisure,starbucks,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,41.0,Bain & Co.,-,-,-,140,140,140,Yes,bain,100.0,NIKE Inc,Clothing & Accessories,nike,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,2.0,HP Inc,Technology Hardware,hp,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,3.0,Bank of America Corporation,Banks,bank of america,,
73,The Clorox Company,Oakland,CA,Retail & Consumer Goods,12,84.75,85.34,83.9,85.1,the clorox,,91.0,The Wonderful Company,39%,-,192,20,20,20,No,the wonderful,12.0,Dow Inc,Chemicals,dow,,
