STANDARDIZED_COMPANY_x,STANDARDIZED_COMPANY_y,match,COMPANY,NAME,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK
aramark,,,Aramark,,358,
public storage,,,Public Storage,,359,
herc holdings,,,Herc Holdings,,360,
roper technologies,,,Roper Technologies,,361,
helix energy solutions,,,Helix Energy Solutions,,362,
ryam,,,RYAM,,363,
performance food,,,Performance Food,,364,
copt defense properties,,,COPT Defense Properties,,365,
godaddy,,,GoDaddy,,366,
novanta,,,Novanta,,367,
the andersons,,,The Andersons,,368,
spirit aerosystems,,,Spirit AeroSystems,,369,
viasat,,,Viasat,,370,
skywork solutions,,,Skywork Solutions,,371,
cmc,,,CMC,,372,
element solutions,,,Element Solutions,,373,
factset,,,FactSet,,374,
vertex pharmaceuticals,vertex pharmaceuticals,vertex pharmaceuticals,Vertex Pharmaceuticals,Vertex Pharmaceuticals,375,76.0
lilly,,,Lilly,,376,
msa safety,,,MSA Safety,,377,
att,hyatt hotels,hyatt hotels,AT&T,Hyatt Hotels,378,73.0
arcbest,,,ArcBest,,379,
phibro animal health,,,Phibro Animal Health,,380,
marvell technology,,,Marvell Technology,,381,
medical properties trust,,,Medical Properties Trust,,382,
oracle,,,Oracle,,383,
cohu,,,Cohu,,384,
blackbaud,,,Blackbaud,,385,
corning,,,Corning,,386,
equity lifestyle properties,,,Equity LifeStyle Properties,,387,
california water service group,,,California Water Service Group,,388,
sprouts farmers market,,,Sprouts Farmers Market,,389,
portland general electric,,,Portland General Electric,,390,
nclh norwegian cruise line holdings,,,NCLH Norwegian Cruise Line Holdings Ltd.,,391,
synchrony financial,synchrony,synchrony,Synchrony Financial,Synchrony,392,5.0
centerpoint energy,,,CenterPoint Energy,,393,
dun bradstreet,,,Dun & Bradstreet,,394,
udr,,,UDR,,395,
henry schein,,,Henry Schein,,396,
donaldson,,,Donaldson,,397,
gibraltar industries,,,Gibraltar Industries,,398,
ingevity,,,Ingevity,,399,
fortune brands,,,Fortune Brands,,400,
amh,,,AMH,,401,
simpson manufacturing,,,Simpson Manufacturing Company,,402,
range resources,,,Range Resources,,403,
fis,,,FIS,,404,
axalta coating systems,,,Axalta Coating Systems,,405,
cintas,,,Cintas,,406,
fiserv,,,Fiserv,,407,
us silica,,,U.S. Silica,,408,
ppl,,,PPL,,409,
matson,,,Matson,,410,
alcoa,,,Alcoa,,411,
ashland,,,Ashland,,412,
nordson,,,Nordson,,413,
starbucks,,,Starbucks,,414,
green plains,,,Green Plains,,415,
american vanguard,,,American Vanguard,,416,
standard motor products,,,Standard Motor Products,,417,
jbt,,,JBT,,418,
itt,deloitte,deloitte,ITT,Deloitte,419,13.0
rpm international,,,RPM International,,420,
parkerhannifin,,,Parker-Hannifin,,421,
hanesbrands,,,Hanesbrands,,422,
ducommun,,,Ducommun,,423,
trimble,,,Trimble,,424,
aecom,,,AECOM,,425,
knowles,,,Knowles,,426,
axcelis,,,axcelis,,427,
compass minerals,,,Compass Minerals,,428,
f5,,,F5,,429,
brinker international,,,Brinker International,,430,
scotts miraclegro,,,Scotts Miracle-Gro,,431,
lci industries,,,LCI Industries,,432,
darling ingredients,,,Darling Ingredients,,433,
travel leisure,,,Travel + Leisure Co.,,434,
corteva agriscience,,,Corteva Agriscience,,435,
adtalem global education,,,Adtalem Global Education,,436,
conocophillips,,,ConocoPhillips,,437,
booz allen hamilton,,,Booz Allen Hamilton,,438,
eastman,,,Eastman,,439,
devon energy,,,Devon Energy,,440,
generac,,,Generac,,441,
array technologies,,,Array Technologies,,442,
marsh mclennan,,,Marsh McLennan,,443,
southwest airlines,,,Southwest Airlines,,444,
tennant,,,Tennant Company,,445,
kilroy realty,,,Kilroy Realty,,446,
citizens financial,,,Citizens Financial,,447,
simon property group,,,Simon Property Group,,448,
hb fuller,,,H.B. Fuller,,449,
autozone,,,AutoZone,,450,
envista,,,Envista,,451,
merit medical systems,,,Merit Medical Systems,,452,
allison transmission,,,Allison Transmission,,453,
azz,,,AZZ,,454,
lazboy,,,La-Z-Boy,,455,
cboe global markets,,,Cboe Global Markets,,456,
gates industrial,,,Gates Industrial,,457,
semtech,,,Semtech,,458,
horace mann educators,,,Horace Mann Educators,,459,
camden property trust,camden property trust,camden property trust,Camden Property Trust,Camden Property Trust,460,24.0
the allstate,,,The Allstate,,461,
midamerica apartment communities,,,Mid-America Apartment Communities,,462,
gxo,,,GXO,,463,
montrose environmental,,,Montrose Environmental,,464,
omega healthcare investors,,,Omega Healthcare Investors,,465,
kb home,,,KB Home,,466,
clearwater paper,,,Clearwater Paper,,467,
aes,,,AES,,468,
catalent,,,Catalent,,469,
the odp,,,The ODP,,470,
dorman products,,,Dorman Products,,471,
worthington industries,,,Worthington Industries,,472,
mks instruments,,,MKS Instruments,,473,
aig,,,AIG,,474,
dexcom,,,Dexcom,,475,
dominion energy,,,Dominion Energy,,476,
dominos pizza,,,Domino's Pizza,,477,
broadridge,,,Broadridge,,478,
hecla mining,,,Hecla Mining,,479,
cf industries holdings,,,CF Industries Holdings,,480,
united airlines,,,United Airlines,,481,
united parcel service,,,United Parcel Service,,482,
adm,,,ADM,,483,
carpenter technology,,,Carpenter Technology,,484,
hillenbrand,,,Hillenbrand,,485,
apa,,,APA Corporation,,486,
potlatchdeltic,,,PotlatchDeltic,,487,
chegg,,,Chegg,,488,
yelp,,,Yelp,,489,
automatic data processing,,,Automatic Data Processing,,490,
graftech international,,,GrafTech International,,491,
cousins properties,,,Cousins Properties,,492,
atkore,,,Atkore,,493,
thor industries,,,THOR Industries,,494,
peabody energy,,,Peabody Energy,,495,
west pharmaceutical services,,,West Pharmaceutical Services,,496,
nrg energy,,,NRG Energy,,497,
endeavour group,,,Endeavour Group,,498,
national vision,,,National Vision,,499,
qorvo,,,Qorvo,,500,
summit materials,,,Summit Materials,,501,
materion,,,Materion,,502,
movado group,,,Movado Group,,503,
timken,,,Timken,,504,
idexx laboratories,,,IDEXX Laboratories,,505,
vistra,,,Vistra,,506,
taylor morrison,,,Taylor Morrison,,507,
ametek,,,Ametek,,508,
alamo group,,,Alamo Group,,509,
sunpower,,,SunPower,,510,
vulcan materials,,,Vulcan Materials,,511,
netflix,,,Netflix,,512,
alaska air,,,Alaska Air,,513,
triumph,,,Triumph,,514,
toast,,,Toast,,515,
global payments,,,Global Payments,,516,
coeur mining,,,Coeur Mining,,517,
sensient technologies,,,Sensient Technologies,,518,
ulta beauty,,,Ulta Beauty,,519,
evergy,,,Evergy,,520,
tjx companies,,,TJX Companies,,521,
jack henry associates,,,Jack Henry & Associates,,522,
helmerich payne,,,Helmerich & Payne,,523,
adt,,,ADT,,524,
tradeweb markets,,,Tradeweb Markets,,525,
brunswick,,,Brunswick,,526,
progress software,,,Progress Software,,527,
advance auto parts,,,Advance Auto Parts,,528,
royal gold,,,Royal Gold,,529,
alliant energy,,,Alliant Energy,,530,
coherent,,,Coherent,,531,
the cheesecake factory,cheesecake factory,cheesecake factory,The Cheesecake Factory,Cheesecake Factory,532,40.0
western midstream,,,Western Midstream,,533,
bwx technologies,,,BWX Technologies,,534,
papa johns international,,,Papa John's International,,535,
hawkins,,,Hawkins,,536,
msci,,,MSCI,,537,
truist,,,Truist,,538,
clearway energy,,,Clearway Energy,,539,
kontoor,,,Kontoor,,540,
quest diagnostics,,,Quest Diagnostics,,541,
franklin resources,,,Franklin Resources,,542,
unifi,,,Unifi,,543,
amkor technology,,,Amkor Technology,,544,
marriott vacations worldwide,,,Marriott Vacations Worldwide,,545,
entegris,,,Entegris,,546,
sanmina,,,Sanmina,,547,
treehouse foods,,,TreeHouse Foods,,548,
transdigm,,,TransDigm,,549,
entergy,,,Entergy,,550,
dentsply sirona,,,Dentsply Sirona,,551,
teradyne,,,Teradyne,,552,
timkensteel,,,TimkenSteel,,553,
news,,,News Corp,,554,
aar,,,AAR,,555,
