RANK_x,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS,original_name,match_name,score,match_index,RANK_y,NAME,% WOMEN,% MINORITIES,U.S. JOB OPENINGS,FULLY PAID MATERNAL LEAVE (DAYS),FULLY PAID PATERNAL LEAVE (DAYS),FULLY PAID ADOPTIVE LEAVE (DAYS),PAID DAYS OFF FOR VOLUNTEERING,UNNAMED: 9
444,tennant company,Eden Prairie,MN,Capital Goods,58,72.64,72.34,73.52,72.13,,,,444,,,,,,,,,,
445,kilroy realty,Los Angeles,CA,Real Estate & Housing,38,72.58,86.77,61.79,69.27,,,,445,,,,,,,,,,
446,citizens financial,Providence,RI,Financial,37,72.54,65.84,80.58,71.26,,,,446,,,,,,,,,,
447,simon property group,Indianapolis,IN,Retail & Consumer Goods,60,72.52,82.45,65.05,70.15,,,,447,,,,,,,,,,
448,hb fuller,St. Paul,MN,Technology,57,72.52,74.47,69.13,74.04,,,,448,,,,,,,,,,
449,autozone,Memphis,TN,Automotive & Components,16,72.45,64.95,70.39,82.09,,,,449,,,,,,,,,,
450,envista,Brea,CA,"Health Care, Life Sciences & Pharmaceuticals",36,72.45,85.31,62.8,69.33,,,,450,,,,,,,,,,
451,merit medical systems,South Jordan,UT,"Health Care, Life Sciences & Pharmaceuticals",37,72.38,77.45,58.14,81.61,,,,451,,,,,,,,,,
452,allison transmission,Indianapolis,IN,Capital Goods,59,72.36,73.27,57.18,86.72,,,,452,,,,,,,,,,
453,azz,Fort Worth,TX,Capital Goods,60,72.35,76.08,58.95,77.69,,,,453,,,,,,,,,,
454,lazboy,Monroe,MI,Real Estate & Housing,39,72.33,74.42,72.52,70.13,,,,454,,,,,,,,,,
455,cboe global markets,Chicago,IL,Financial,38,72.33,85.71,64.66,66.7,,,,455,,,,,,,,,,
456,gates industrial,Denver,CO,Capital Goods,61,72.25,73.48,63.79,79.57,,,,456,,,,,,,,,,
457,semtech,Camarillo,CA,Technology,58,72.19,72.05,70.92,73.68,,,,457,,,,,,,,,,
458,horace mann educators,Springfield,IL,Financial,39,72.17,70.76,74.74,71.08,,,,458,,,,,,,,,,
460,the allstate,Northbrook,IL,Financial,40,72.07,65.39,82.67,68.21,,,,460,,,,,,,,,,
461,midamerica apartment communities,Memphis,TN,Real Estate & Housing,41,72.05,76.56,58.21,81.46,,,,461,,,,,,,,,,
462,gxo,Greenwich,CT,Transport & Logistics,12,72.04,64.42,68.64,83.12,,,,462,,,,,,,,,,
463,montrose environmental,North Little Rock,AR,Professional Services,19,72.03,67.78,72.19,76.18,,,,463,,,,,,,,,,
464,omega healthcare investors,Hunt Valley,MD,Real Estate & Housing,42,72.02,81.41,68.15,66.59,,,,464,,,,,,,,,,
465,kb home,Los Angeles,CA,Real Estate & Housing,43,71.96,71.35,68.16,76.44,,,,465,,,,,,,,,,
466,clearwater paper,Spokane,WA,Materials & Chemicals,41,71.92,75.88,60.01,79.94,,,,466,,,,,,,,,,
467,aes,Arlington,VA,Energy & Utilities,37,71.9,64.01,86.14,65.62,,,,467,,,,,,,,,,
468,catalent,Somerset,NJ,"Health Care, Life Sciences & Pharmaceuticals",38,71.9,85.11,67.54,63.13,,,,468,,,,,,,,,,
469,the odp,Boca Raton,FL,Retail & Consumer Goods,61,71.86,60.09,74.22,81.34,,,,469,,,,,,,,,,
470,dorman products,Colmar,PA,Automotive & Components,17,71.81,76.3,54.26,84.94,,,,470,,,,,,,,,,
471,worthington industries,Columbus,OH,Materials & Chemicals,42,71.77,89.53,49.33,76.55,,,,471,,,,,,,,,,
472,mks instruments,Andover,MA,Technology,59,71.77,78.18,69.84,67.37,,,,472,,,,,,,,,,
473,aig,New York City,NY,Financial,41,71.73,52.55,83.94,78.75,,,,473,,,,,,,,,,
474,dexcom,San Diego,CA,"Health Care, Life Sciences & Pharmaceuticals",39,71.73,63.86,64.41,86.96,,,,474,,,,,,,,,,
475,dominion energy,Richmond,VA,Energy & Utilities,38,71.72,65.33,79.53,70.35,,,,475,,,,,,,,,,
476,dominos pizza,Ann Arbor,MI,"Hotels, Dining & Leisure",12,71.69,75.85,70.81,68.49,,,,476,,,,,,,,,,
477,broadridge,Lake Success,NY,Financial,42,71.59,67.88,73.45,73.51,,,,477,,,,,,,,,,
478,hecla mining,Coeur d'Alene,ID,Materials & Chemicals,43,71.56,76.35,63.04,75.36,,,,478,,,,,,,,,,
479,cf industries holdings,Deerfield,IL,Materials & Chemicals,44,71.5,50.44,78.5,85.59,,,,479,,,,,,,,,,
480,united airlines,Chicago,IL,Transport & Logistics,13,71.46,65.47,77.27,71.7,,,,480,,,,,,,,,,
481,united parcel service,Atlanta,GA,Transport & Logistics,14,71.33,59.79,83.3,70.97,,,,481,,,,,,,,,,
482,adm,Chicago,IL,Materials & Chemicals,45,71.31,66.39,58.47,89.15,,,,482,,,,,,,,,,
483,carpenter technology,Philadelphia,PA,Materials & Chemicals,45,71.31,82.52,67.24,64.27,,,,483,,,,,,,,,,
484,hillenbrand,Batesville,IN,Capital Goods,62,71.31,74.24,59.02,80.73,,,,484,,,,,,,,,,
485,apa corporation,Houston,TX,Energy & Utilities,39,71.3,67.76,69.36,76.84,,,,485,,,,,,,,,,
486,potlatchdeltic,Spokane,WA,Capital Goods,63,71.29,73.74,69.55,70.64,,,,486,,,,,,,,,,
487,chegg,Santa Clara,CA,Professional Services,20,71.27,61.34,74.26,78.27,,,,487,,,,,,,,,,
488,yelp,San Francisco,CA,Media & Telecommunications,18,71.21,55.73,67.37,90.59,,,,488,,,,,,,,,,
489,automatic data processing,Roseland,NJ,Technology,60,71.14,65.48,67.8,80.22,,,,489,,,,,,,,,,
490,graftech international,Brooklyn Heights,OH,Capital Goods,64,71.13,75.56,57.51,80.4,,,,490,,,,,,,,,,
491,cousins properties,Atlanta,GA,Real Estate & Housing,44,71.12,80.64,61.34,71.46,,,,491,,,,,,,,,,
492,atkore,Harvey,IL,Capital Goods,65,71.11,73.5,64.61,75.31,,,,492,,,,,,,,,,
493,thor industries,Elkhart,IN,Automotive & Components,18,71.11,72.84,56.45,84.12,,,,493,,,,,,,,,,
494,peabody energy,St. Louis,MO,Energy & Utilities,40,71.08,62.9,74.61,75.8,,,,494,,,,,,,,,,
495,west pharmaceutical services,Exton,PA,"Health Care, Life Sciences & Pharmaceuticals",40,71.07,88.47,56.11,68.73,,,,495,,,,,,,,,,
496,nrg energy,Houston,TX,Energy & Utilities,41,71.05,67.38,79.8,66.05,,,,496,,,,,,,,,,
497,endeavour group,Beverly Hills,CA,Professional Services,21,71.02,76.84,67.54,68.74,,,,497,,,,,,,,,,
498,national vision,Duluth,GA,Retail & Consumer Goods,62,70.97,64.23,72.56,76.2,,,,498,,,,,,,,,,
499,qorvo,Greensboro,NC,Technology,61,70.97,80.07,50.63,82.28,,,,499,,,,,,,,,,
500,summit materials,Denver,CO,Materials & Chemicals,47,70.92,73.09,69.6,70.16,,,,500,,,,,,,,,,
501,materion,Mayfield Heights,OH,Technology,62,70.92,82.86,59.38,70.59,,,,501,,,,,,,,,,
502,movado group,Paramus,NJ,Retail & Consumer Goods,63,70.9,61.84,72.03,78.89,,,,502,,,,,,,,,,
503,timken,North Canton,OH,Capital Goods,66,70.87,85.21,56.26,71.24,,,,503,,,,,,,,,,
504,idexx laboratories,Westbrook,ME,"Health Care, Life Sciences & Pharmaceuticals",41,70.86,65.01,75.45,72.17,,,,504,,,,,,,,,,
505,vistra,Irving,TX,Energy & Utilities,42,70.85,69.49,70.61,72.52,,,,505,,,,,,,,,,
506,taylor morrison,Scottsdale,AZ,Real Estate & Housing,45,70.76,55.49,70.35,86.49,,,,506,,,,,,,,,,
507,ametek,Berwyn,PA,Technology,63,70.71,75.18,58.99,78.03,,,,507,,,,,,,,,,
508,alamo group,Seguin,TX,Transport & Logistics,15,70.67,85.62,53.29,73.18,,,,508,,,,,,,,,,
509,sunpower,San Jose,CA,Energy & Utilities,43,70.65,88.78,57.7,65.55,,,,509,,,,,,,,,,
510,vulcan materials,Birmingham,AL,Capital Goods,67,70.63,75.74,70.84,65.39,,,,510,,,,,,,,,,
511,netflix,Los Gatos,CA,Media & Telecommunications,19,70.58,70.86,71.4,69.55,,,,511,,,,,,,,,,
512,alaska air,Seattle,WA,Transport & Logistics,16,70.54,57.66,86.0,68.03,,,,512,,,,,,,,,,
513,triumph,Berwyn,PA,Automotive & Components,19,70.5,86.29,61.49,63.82,,,,513,,,,,,,,,,
514,toast,Boston,MA,Software,16,70.49,82.2,63.77,65.57,,,,514,,,,,,,,,,
515,global payments,Atlanta,GA,Financial,43,70.48,78.13,61.13,72.25,,,,515,,,,,,,,,,
516,coeur mining,Chicago,IL,Materials & Chemicals,48,70.45,66.67,78.7,66.07,,,,516,,,,,,,,,,
517,sensient technologies,Milwaukee,WI,Materials & Chemicals,49,70.43,75.51,62.34,73.52,,,,517,,,,,,,,,,
518,ulta beauty,Bolingbrook,IL,Retail & Consumer Goods,64,70.4,65.95,74.75,70.55,,,,518,,,,,,,,,,
519,evergy,Kansas City,MO,Energy & Utilities,44,70.38,53.82,85.42,71.95,,,,519,,,,,,,,,,
520,tjx companies,Framingham,MA,Retail & Consumer Goods,65,70.34,68.29,75.48,67.33,,,,520,,,,,,,,,,
521,jack henry associates,Monett,MO,Financial,44,70.34,67.39,67.08,76.61,,,,521,,,,,,,,,,
522,helmerich payne,Tulsa,OK,Energy & Utilities,45,70.29,59.85,62.85,88.25,,,,522,,,,,,,,,,
523,adt,Boca Raton,FL,Professional Services,22,70.29,78.2,53.45,79.29,,,,523,,,,,,,,,,
524,tradeweb markets,New York City,NY,Financial,45,70.26,65.55,66.19,79.12,,,,524,,,,,,,,,,
525,brunswick,Mettawa,IL,Capital Goods,68,70.24,79.45,58.15,73.21,,,,525,,,,,,,,,,
526,progress software,Burlington,MA,Software,17,70.23,84.39,53.65,72.73,,,,526,,,,,,,,,,
527,advance auto parts,Raleigh,NC,Automotive & Components,20,70.21,66.93,75.79,67.98,,,,527,,,,,,,,,,
528,royal gold,Denver,CO,Energy & Utilities,46,70.17,62.45,70.36,77.77,,,,528,,,,,,,,,,
529,alliant energy,Madison,WI,Energy & Utilities,47,70.15,67.66,78.69,64.16,,,,529,,,,,,,,,,
530,coherent,Saxonburg,PA,Technology,64,69.99,84.47,67.23,58.35,,,,530,,,,,,,,,,
532,western midstream,The Woodlands,TX,Energy & Utilities,48,69.98,48.2,70.33,91.47,,,,532,,,,,,,,,,
533,bwx technologies,Lynchburg,VA,Capital Goods,69,69.97,69.1,60.08,80.81,,,,533,,,,,,,,,,
534,papa johns international,Louisville,KY,"Hotels, Dining & Leisure",14,69.97,60.52,74.37,75.07,,,,534,,,,,,,,,,
535,hawkins,Roseville,MN,Materials & Chemicals,50,69.91,80.23,49.36,80.22,,,,535,,,,,,,,,,
536,msci,New York City,NY,Technology,65,69.9,75.24,67.37,67.16,,,,536,,,,,,,,,,
537,truist,Charlotte,NC,Financial,46,69.81,64.53,79.95,65.02,,,,537,,,,,,,,,,
538,clearway energy,Princeton,NJ,Energy & Utilities,49,69.79,77.97,64.51,66.99,,,,538,,,,,,,,,,
539,kontoor,Greensboro,NC,Retail & Consumer Goods,66,69.74,78.82,51.53,78.96,,,,539,,,,,,,,,,
540,quest diagnostics,Secaucus,NJ,"Health Care, Life Sciences & Pharmaceuticals",42,69.72,65.92,76.81,66.51,,,,540,,,,,,,,,,
541,franklin resources,San Mateo,CA,Financial,47,69.67,67.28,65.24,76.54,,,,541,,,,,,,,,,
542,unifi,Greensboro,NC,Materials & Chemicals,51,69.62,74.36,60.87,73.7,,,,542,,,,,,,,,,
543,amkor technology,Tempe,AZ,Technology,66,69.6,76.65,63.09,69.12,,,,543,,,,,,,,,,
544,marriott vacations worldwide,Orlando,FL,"Hotels, Dining & Leisure",15,69.58,76.09,53.1,79.63,,,,544,,,,,,,,,,
545,entegris,Billerica,MA,"Health Care, Life Sciences & Pharmaceuticals",43,69.55,83.41,59.65,65.68,,,,545,,,,,,,,,,
546,sanmina,San Jose,CA,Technology,67,69.48,72.25,65.29,70.96,,,,546,,,,,,,,,,
547,treehouse foods,Oak Brook,IL,Retail & Consumer Goods,67,69.41,81.69,64.91,61.7,,,,547,,,,,,,,,,
548,transdigm,Cleveland,OH,Capital Goods,70,69.36,74.46,57.58,76.12,,,,548,,,,,,,,,,
549,entergy,New Orleans,LA,Energy & Utilities,50,69.34,48.94,85.34,73.78,,,,549,,,,,,,,,,
550,dentsply sirona,Charlotte,NC,"Health Care, Life Sciences & Pharmaceuticals",44,69.21,80.15,57.65,69.89,,,,550,,,,,,,,,,
551,teradyne,North Reading,MA,Technology,68,69.19,77.07,55.97,74.61,,,,551,,,,,,,,,,
552,timkensteel,North Canton,OH,Materials & Chemicals,52,69.16,69.51,61.96,76.09,,,,552,,,,,,,,,,
553,news corp,New York City,NY,Media & Telecommunications,20,69.14,72.07,59.77,75.65,,,,553,,,,,,,,,,
554,aar,Wood Dale,IL,Transport & Logistics,17,69.14,66.1,56.8,84.57,,,,554,,,,,,,,,,
555,tyler technologies,Plano,TX,Software,18,69.12,66.31,64.97,76.13,,,,555,,,,,,,,,,
556,louisianapacific,Nashville,TN,Capital Goods,71,69.05,65.78,62.45,78.97,,,,556,,,,,,,,,,
557,snapon,Kenosha,WI,Capital Goods,72,69.03,82.69,51.79,72.69,,,,557,,,,,,,,,,
558,quaker houghton,Conshohocken,PA,Materials & Chemicals,53,68.95,69.19,56.36,81.36,,,,558,,,,,,,,,,
559,flowers foods,Thomasville,GA,Retail & Consumer Goods,68,68.88,87.26,50.98,68.48,,,,559,,,,,,,,,,
560,paramount global,New York City,NY,Media & Telecommunications,21,68.86,67.04,72.11,67.49,,,,560,,,,,,,,,,
561,akamai,Cambridge,MA,Media & Telecommunications,22,68.85,62.12,67.48,77.0,,,,561,,,,,,,,,,
562,old dominion freight line,Thomasville,NC,Transport & Logistics,18,68.83,62.21,72.55,71.79,,,,562,,,,,,,,,,
563,dollar general,Goodlettsville,TN,Retail & Consumer Goods,69,68.8,69.45,73.3,63.72,,,,563,,,,,,,,,,
564,constellation energy,Baltimore,MD,Energy & Utilities,51,68.72,52.97,83.26,69.99,,,,564,,,,,,,,,,
565,choice hotels,Rockville,MD,"Hotels, Dining & Leisure",16,68.71,72.93,68.63,64.63,,,,565,,,,,,,,,,
566,teledyne technologies,Thousand Oaks,CA,Technology,69,68.7,86.13,55.59,64.45,,,,566,,,,,,,,,,
567,avanos medical,Alpharetta,GA,"Health Care, Life Sciences & Pharmaceuticals",45,68.67,71.45,71.26,63.37,,,,567,,,,,,,,,,
568,cno financial group inc,Carmel,IN,Financial,48,68.56,63.89,73.84,68.01,,,,568,,,,,,,,,,
569,the childrens place,Secaucus,NJ,Retail & Consumer Goods,70,68.5,81.38,63.75,60.45,,,,569,,,,,,,,,,
570,the hanover,Worcester,MA,Financial,49,68.43,73.26,62.65,69.46,,,,570,,,,,,,,,,
571,tronox,Stamford,CT,Materials & Chemicals,54,68.39,62.13,66.0,77.1,,,,571,,,,,,,,,,
572,arrow electronics,Centennial,CO,Technology,70,68.35,63.09,71.05,70.99,,,,572,,,,,,,,,,
573,fastenal,Winona,MN,Retail & Consumer Goods,71,68.33,73.59,60.71,70.75,,,,573,,,,,,,,,,
574,integra,Princeton,NJ,"Health Care, Life Sciences & Pharmaceuticals",46,68.32,57.49,61.01,86.51,,,,574,,,,,,,,,,
575,western union,Denver,CO,Financial,50,68.25,59.14,76.99,68.66,,,,575,,,,,,,,,,
576,american airlines,Fort Worth,TX,Transport & Logistics,19,68.19,63.12,67.06,74.47,,,,576,,,,,,,,,,
577,ameriprise financial,Minneapolis,MN,Financial,51,68.16,68.57,63.5,72.49,,,,577,,,,,,,,,,
578,frontdoor,Memphis,TN,Real Estate & Housing,46,68.06,47.85,73.48,82.91,,,,578,,,,,,,,,,
579,universal display,Ewing,NJ,Technology,71,68.05,77.67,59.18,67.36,,,,579,,,,,,,,,,
580,graphic packaging holding company,Atlanta,GA,Materials & Chemicals,55,67.98,60.6,63.58,79.81,,,,580,,,,,,,,,,
581,nnn reit,Orlando,FL,Financial,52,67.94,61.67,70.7,71.5,,,,581,,,,,,,,,,
582,ufp industries,Grand Rapids,MI,Real Estate & Housing,47,67.93,77.41,44.96,81.5,,,,582,,,,,,,,,,
583,yeti,Austin,TX,Retail & Consumer Goods,72,67.91,65.55,69.37,68.85,,,,583,,,,,,,,,,
584,boyd,Las Vegas,NV,"Hotels, Dining & Leisure",17,67.86,77.41,53.03,73.21,,,,584,,,,,,,,,,
585,crane,Stamford,CT,Materials & Chemicals,56,67.82,74.48,69.78,59.28,,,,585,,,,,,,,,,
586,piedmont,Atlanta,GA,Real Estate & Housing,48,67.81,81.32,44.88,77.32,,,,586,,,,,,,,,,
587,bellring,St. Louis,MO,Retail & Consumer Goods,73,67.8,68.76,61.88,72.81,,,,587,,,,,,,,,,
588,applied industrial technologies,Cleveland,OH,Capital Goods,73,67.77,61.59,57.27,84.52,,,,588,,,,,,,,,,
589,paccar,Bellevue,WA,Transport & Logistics,20,67.75,75.82,55.65,71.85,,,,589,,,,,,,,,,
590,expeditors international of washington,Seattle,WA,Transport & Logistics,21,67.57,67.01,66.29,69.47,,,,590,,,,,,,,,,
591,rogers corporation,Chandler,AZ,Technology,72,67.55,77.12,56.21,69.4,,,,591,,,,,,,,,,
592,expro,Houston,TX,Energy & Utilities,52,67.54,77.29,61.52,63.89,,,,592,,,,,,,,,,
593,sjw group,San Jose,CA,Capital Goods,74,67.5,76.37,62.22,63.98,,,,593,,,,,,,,,,
595,lkq,Chicago,IL,Retail & Consumer Goods,74,67.26,68.19,64.11,69.54,,,,595,,,,,,,,,,
596,fossil,Richardson,TX,Retail & Consumer Goods,75,67.26,80.15,50.11,71.59,,,,596,,,,,,,,,,
597,okta,San Francisco,CA,Software,19,67.12,77.73,63.97,59.74,,,,597,,,,,,,,,,
598,spectrum brands,Middleton,WI,Retail & Consumer Goods,76,67.11,66.29,66.85,68.25,,,,598,,,,,,,,,,
599,modine manufacturing,Racine,WI,Capital Goods,75,67.09,67.48,55.6,78.25,,,,599,,,,,,,,,,
600,forward,Greeneville,TN,Transport & Logistics,22,67.07,56.42,59.45,85.4,,,,600,,,,,,,,,,
