matched_name,HQ CITY,HQ STATE,INDUSTRY,NEWSWEEK_MOST_RESPONSIBLE_2025_RANK,FORTUNE_100_BEST_COMPANIES_TO_WORK_FOR_2024_RANK,JUST_CAPITALS_JUST_100_RANK,POINTS_OF_LIGHT_CIVIC_50
,Eden Prairie,MN,Capital Goods,445,91.0,15.0,
,Eden Prairie,MN,Capital Goods,445,91.0,21.0,
,Eden Prairie,MN,Capital Goods,445,91.0,22.0,
,Eden Prairie,MN,Capital Goods,445,91.0,26.0,
,Eden Prairie,MN,Capital Goods,445,91.0,27.0,
,Eden Prairie,MN,Capital Goods,445,91.0,28.0,
,Eden Prairie,MN,Capital Goods,445,91.0,36.0,
,Eden Prairie,MN,Capital Goods,445,91.0,38.0,
,Eden Prairie,MN,Capital Goods,445,91.0,41.0,
,Eden Prairie,MN,Capital Goods,445,91.0,43.0,
,Eden Prairie,MN,Capital Goods,445,91.0,46.0,
,Eden Prairie,MN,Capital Goods,445,91.0,47.0,
,Eden Prairie,MN,Capital Goods,445,91.0,51.0,
,Eden Prairie,MN,Capital Goods,445,91.0,52.0,
,Eden Prairie,MN,Capital Goods,445,91.0,58.0,
,Eden Prairie,MN,Capital Goods,445,91.0,63.0,
,Eden Prairie,MN,Capital Goods,445,91.0,64.0,
,Eden Prairie,MN,Capital Goods,445,91.0,66.0,
,Eden Prairie,MN,Capital Goods,445,91.0,68.0,
,Eden Prairie,MN,Capital Goods,445,91.0,70.0,
,Eden Prairie,MN,Capital Goods,445,91.0,72.0,
,Eden Prairie,MN,Capital Goods,445,91.0,73.0,
,Eden Prairie,MN,Capital Goods,445,91.0,75.0,
,Eden Prairie,MN,Capital Goods,445,91.0,78.0,
,Eden Prairie,MN,Capital Goods,445,91.0,82.0,
,Eden Prairie,MN,Capital Goods,445,91.0,83.0,
,Eden Prairie,MN,Capital Goods,445,91.0,85.0,
,Eden Prairie,MN,Capital Goods,445,91.0,86.0,
,Eden Prairie,MN,Capital Goods,445,91.0,89.0,
,Eden Prairie,MN,Capital Goods,445,91.0,90.0,
,Eden Prairie,MN,Capital Goods,445,91.0,94.0,
,Eden Prairie,MN,Capital Goods,445,91.0,95.0,
,Eden Prairie,MN,Capital Goods,445,91.0,97.0,
,Eden Prairie,MN,Capital Goods,445,91.0,100.0,
,Houston,TX,Energy & Utilities,486,41.0,2.0,
,Houston,TX,Energy & Utilities,486,41.0,3.0,
,Houston,TX,Energy & Utilities,486,41.0,12.0,
,Houston,TX,Energy & Utilities,486,41.0,15.0,
,Houston,TX,Energy & Utilities,486,41.0,21.0,
,Houston,TX,Energy & Utilities,486,41.0,22.0,
,Houston,TX,Energy & Utilities,486,41.0,26.0,
,Houston,TX,Energy & Utilities,486,41.0,27.0,
,Houston,TX,Energy & Utilities,486,41.0,28.0,
,Houston,TX,Energy & Utilities,486,41.0,36.0,
,Houston,TX,Energy & Utilities,486,41.0,38.0,
,Houston,TX,Energy & Utilities,486,41.0,41.0,
,Houston,TX,Energy & Utilities,486,41.0,43.0,
,Houston,TX,Energy & Utilities,486,41.0,46.0,
,Houston,TX,Energy & Utilities,486,41.0,47.0,
,Houston,TX,Energy & Utilities,486,41.0,51.0,
,Houston,TX,Energy & Utilities,486,41.0,52.0,
,Houston,TX,Energy & Utilities,486,41.0,58.0,
,Houston,TX,Energy & Utilities,486,41.0,63.0,
,Houston,TX,Energy & Utilities,486,41.0,64.0,
,Houston,TX,Energy & Utilities,486,41.0,66.0,
,Houston,TX,Energy & Utilities,486,41.0,68.0,
,Houston,TX,Energy & Utilities,486,41.0,70.0,
,Houston,TX,Energy & Utilities,486,41.0,72.0,
,Houston,TX,Energy & Utilities,486,41.0,73.0,
,Houston,TX,Energy & Utilities,486,41.0,75.0,
,Houston,TX,Energy & Utilities,486,41.0,78.0,
,Houston,TX,Energy & Utilities,486,41.0,82.0,
,Houston,TX,Energy & Utilities,486,41.0,83.0,
,Houston,TX,Energy & Utilities,486,41.0,85.0,
,Houston,TX,Energy & Utilities,486,41.0,86.0,
