RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
125,Sherwin-Williams,Cleveland,OH,Materials & Chemicals,10,82.51,84.28,77.73,85.6
126,J.M. Smucker,Orrville,OH,Retail & Consumer Goods,18,82.47,90.45,74.31,82.73
127,American Water,Camden,NJ,Energy & Utilities,4,82.44,72.73,87.65,87.0
128,LabCorp,Burlington,NC,"Health Care, Life Sciences & Pharmaceuticals",13,82.24,90.24,83.11,73.46
129,ANSYS,Canonsburg,PA,Software,7,82.2,71.33,83.17,92.17
130,Federal Realty Investment Trust,North Bethesda,MD,Real Estate & Housing,9,82.15,90.85,79.68,76.0
131,Broadcom,San Jose,CA,Technology,24,82.14,88.48,72.08,85.95
132,Texas Instruments,Dallas,TX,Technology,25,82.09,81.26,90.89,74.18
133,Interface,Atlanta,GA,Materials & Chemicals,11,82.04,89.25,64.22,92.72
134,Salesforce,San Francisco,CA,Software,8,82.02,83.22,87.23,75.69
135,Kraft Heinz,Chicago,IL,Retail & Consumer Goods,19,81.97,87.09,76.2,82.7
136,Dana,Maumee,OH,Automotive & Components,4,81.91,89.4,72.98,83.44
137,IBM,Armonk,NY,Technology,26,81.89,77.87,93.17,74.71
138,Kimco Realty,Jericho,NY,Real Estate & Housing,10,81.85,86.42,89.05,70.18
139,Armstrong World Industries,Lancaster,PA,Capital Goods,13,81.85,79.32,77.7,88.6
140,Gartner,Stamford,CT,Professional Services,7,81.84,70.54,84.68,90.36
141,Sempra,San Diego,CA,Energy & Utilities,5,81.79,68.2,94.13,83.11
142,Welltower,Toledo,OH,Real Estate & Housing,11,81.73,92.75,80.46,72.08
143,Best Buy,Richfield,MN,Retail & Consumer Goods,20,81.72,89.7,82.94,72.61
144,Micron,Boise,ID,Technology,27,81.62,73.62,91.59,79.73
145,Enphase,Fremont,CA,Energy & Utilities,6,81.48,85.53,68.16,90.83
146,Littelfuse,Chicago,IL,Technology,28,81.47,92.25,71.95,80.3
147,Stanley Black & Decker,New Britain,CT,Capital Goods,14,81.44,93.57,77.63,73.21
148,Whirlpool,Benton Harbor,MI,Retail & Consumer Goods,21,81.4,86.24,76.45,81.58
