RANK,COMPANY,HQ CITY,HQ STATE,INDUSTRY,RANK IN INDUSTRY,SCORE OVERALL,SCORE ENVIRONMENTAL CONCERNS,SCORE SOCIAL CONCERNS,SCORE CORPORATE GOVERNANCE CONCERNS
216,Edwards Lifesciences,Irvine,California,Health Care & Life Sciences,21,76.71,97.27,52.69,80.28
217,T-Mobile,Bellevue,Washington,Software & Telecommunications,24,76.65,80.98,72.45,76.59
218,Cognizant Technology Solutions,Teaneck,New Jersey,Professional Services,8,76.61,71.69,68.99,89.23
219,PVH,New York,New York,Retail,7,76.6,88.57,53.99,87.34
220,GlobalFoundries,Malta,New York,Technology Hardware,36,76.6,83.17,75.04,71.67
221,LCI Industries,Elkhart,Indiana,Automotive & Components,5,76.56,64.47,72.06,93.24
222,Dana,Maumee,Ohio,Automotive & Components,6,76.56,91.25,66.85,71.68
223,Brown-Forman,Louisville,Kentucky,Consumer Goods,22,76.56,82.13,63.99,83.64
224,Bread Financial,Columbus,Ohio,Financial,19,76.54,83.2,77.25,69.26
225,Western Midstream,The Woodlands,Texas,Energy & Utilities,12,76.52,58.81,82.21,88.59
226,Conagra Brands,Chicago,Illinois,Consumer Goods,23,76.49,87.91,73.52,68.11
227,Huntington Bancshares,Columbus,Ohio,Financial,20,76.47,83.45,78.53,67.51
228,Herc Holdings,Bonita Springs,Florida,Capital Goods,23,76.46,70.56,80.29,78.62
229,JPMorgan Chase & Co,New York,New York,Financial,21,76.45,81.76,70.63,77.04
230,CF Industries Holdings,Deerfield,Illinois,Materials & Chemicals,21,76.42,55.32,79.59,94.39
231,Bank of New York Mellon,New York,New York,Financial,22,76.42,94.16,67.55,67.63
232,Air Products and Chemicals,Allentown,Pennsylvania,Materials & Chemicals,22,76.41,70.58,82.02,76.71
233,KeyCorp,Cleveland,Ohio,Financial,23,76.37,82.72,79.3,67.18
234,Mueller Water Products,Atlanta,Georgia,Capital Goods,24,76.35,75.45,76.84,76.85
235,Gen Digital,Tempe,Arizona,Software & Telecommunications,25,76.34,91.5,75.04,62.58
236,Lincoln National,Radnor,Pennsylvania,Financial,24,76.32,88.04,73.05,67.96
237,Nexteer Automotive,Saginaw,Michigan,Automotive & Components,7,76.26,87.76,59.1,82.02
238,W.W. Grainger,Lake Forest,Illinois,Capital Goods,25,76.25,82.19,64.63,82.02
239,Teradata,San Diego,California,Software & Telecommunications,26,76.22,68.41,69.13,91.19
240,Target,Minneapolis,Minnesota,Retail,8,76.19,74.51,74.42,79.72
241,ICF,Fairfax,Virginia,Professional Services,9,76.19,67.01,83.18,78.44
242,Green Plains,Omaha,Nebraska,Materials & Chemicals,23,76.12,72.77,86.68,68.97
243,National Vision,Duluth,Georgia,Retail,9,76.03,73.59,67.86,86.72
244,Visa,San Francisco,California,Financial,25,76.03,86.88,57.78,83.52
245,Adtalem Global Education,Chicago,Illinois,Professional Services,10,75.99,80.79,72.83,74.43
246,Peabody Energy,Saint Louis,Missouri,Energy & Utilities,13,75.94,68.67,75.87,83.34
247,Cohu,Poway,California,Technology Hardware,37,75.9,81.41,65.81,80.56
248,CMC,Irving,Texas,Materials & Chemicals,24,75.87,73.58,72.48,81.62
249,Pfizer,New York,New York,Health Care & Life Sciences,22,75.85,73.39,67.94,86.28
250,Harley-Davidson,Milwaukee,Wisconsin,Automotive & Components,8,75.82,74.38,67.93,85.22
251,J.M. Smucker,Orrville,Ohio,Consumer Goods,24,75.8,85.35,65.37,76.77
252,PPL,Allentown,Pennsylvania,Energy & Utilities,14,75.79,59.69,93.41,74.34
253,Skywork Solutions,Irvine,California,Technology Hardware,38,75.79,85.18,67.29,74.98
254,Teradyne,North Reading,Massachusetts,Technology Hardware,39,75.76,81.1,60.04,86.23
255,General Electric,Boston,Massachusetts,Capital Goods,26,75.76,77.86,71.91,77.6
256,Fossil,Richardson,Texas,Consumer Goods,25,75.74,73.05,66.66,87.59
257,Southwest Airlines,Dallas,Texas,Transport & Logistics,3,75.73,71.13,81.53,74.59
258,CSX,Jacksonville,Florida,Transport & Logistics,4,75.72,80.14,65.79,81.31
259,Las Vegas Sands,Las Vegas,Nevada,"Hotels, Dining & Leisure",5,75.72,84.47,80.5,62.27
260,Akamai,Cambridge,Massachusetts,Software & Telecommunications,27,75.71,90.68,62.42,74.13
261,Williams-Sonoma,San Francisco,California,Consumer Goods,26,75.68,74.87,68.92,83.32
262,Knowles Corporation,Itasca,Illinois,Technology Hardware,40,75.63,84.87,63.66,78.43
263,Charles River Laboratories,Wilmington,Massachusetts,Health Care & Life Sciences,23,75.62,79.89,74.11,72.95
264,Maxim Integrated Products,San Jose,California,Technology Hardware,41,75.6,82.47,60.54,83.86
265,Illinois Tool Works,Glenview,Illinois,Capital Goods,27,75.55,85.61,72.49,68.66
266,Summit Materials,Denver,Colorado,Materials & Chemicals,25,75.52,78.38,65.11,83.13
267,Public Storage,Glendale,California,Real Estate & Housing,23,75.51,79.77,67.6,79.25
268,Palo Alto Networks,Santa Clara,California,Software & Telecommunications,28,75.49,82.52,73.44,70.59
269,TPI Composites,Scottsdale,Arizona,Capital Goods,28,75.48,73.16,78.14,75.21
270,TransUnion,Chicago,Illinois,Professional Services,11,75.46,76.53,73.41,76.52
271,Fiserv,Brookfield,Wisconsin,Software & Telecommunications,29,75.46,71.08,71.4,83.96
272,Marathon Oil,Houston,Texas,Energy & Utilities,15,75.44,62.76,82.41,81.21
273,Hanesbrands,Winston-Salem,North Carolina,Consumer Goods,27,75.42,94.02,63.81,68.52
274,West Pharmaceutical Services,Exton,Pennsylvania,Health Care & Life Sciences,24,75.4,83.21,66.81,76.27
275,Howmet Aerospace,Pittsburgh,Pennsylvania,Capital Goods,29,75.39,72.67,72.77,80.79
276,American Axle & Manufacturing Holdings,Detroit,Michigan,Automotive & Components,9,75.36,72.44,74.97,78.75
277,Avnet,Phoenix,Arizona,Technology Hardware,42,75.34,90.34,69.27,66.51
278,QuidelOrtho,San Diego,California,Health Care & Life Sciences,25,75.3,76.76,67.79,81.44
279,Kraton,Houston,Texas,Materials & Chemicals,26,75.3,69.15,74.88,81.95
280,United Therapeutics,Silver Spring,Maryland,Health Care & Life Sciences,26,75.29,65.56,76.31,84.06
281,WESCO International,Pittsburgh,Pennsylvania,Transport & Logistics,5,75.29,74.55,66.34,85.05
282,The Hartford,Hartford,Connecticut,Financial,26,75.28,55.79,81.32,88.77
283,Bank of America,Charlotte,North Carolina,Financial,27,75.27,84.47,75.36,66.07
284,McCormick & Company,Hunt Valley,Maryland,Consumer Goods,28,75.26,82.41,77.5,65.96
285,Kraft Heinz,Chicago,Illinois,Consumer Goods,29,75.26,82.19,67.42,76.26
286,International Flavors & Fragrances,New York,New York,Materials & Chemicals,27,75.26,78.88,69.69,77.28
287,Post,Saint Louis,Missouri,Consumer Goods,30,75.25,79.25,64.64,81.94
288,Belden,Saint Louis,Missouri,Technology Hardware,43,75.21,61.6,80.9,83.2
289,Dropbox,San Francisco,California,Software & Telecommunications,30,75.2,76.95,63.62,85.11
290,Cornerstone Building Brands,Cary,North Carolina,Capital Goods,30,75.2,74.76,74.13,76.78
291,Parsons,Centreville,Virginia,Capital Goods,31,75.2,72.36,79.75,73.55
292,Brunswick,Mettawa,Illinois,Capital Goods,32,75.19,77.61,67.19,80.84
293,Sensata Technologies,Attleboro,Massachusetts,Technology Hardware,44,75.12,73.85,86.11,65.49
294,Merit Medical Systems,South Jordan,Utah,Health Care & Life Sciences,27,75.1,78.78,63.25,83.35
295,Corning,Corning,New York,Technology Hardware,45,75.08,76.24,74.8,74.28
296,Exact Sciences,Madison,Wisconsin,Health Care & Life Sciences,28,75.07,84.58,82.83,57.89
297,PotlatchDeltic,Spokane,Washington,Capital Goods,33,75.04,69.38,78.78,77.02
298,California Water Service Group,San Jose,California,Energy & Utilities,16,75.04,68.14,79.54,77.5
299,AMH,Calabasas,California,Real Estate & Housing,24,75.01,61.36,82.72,81.02
300,Regions Financial,Birmingham,Alabama,Financial,28,75,70.93,71.05,83.08
301,Equity Residential,Chicago,Illinois,Real Estate & Housing,25,74.98,82.37,76.03,66.63
302,The Hanover,Worcester,Massachusetts,Financial,29,74.92,76.07,69.03,79.73
303,Arista Networks,Santa Clara,California,Software & Telecommunications,31,74.89,81.24,61.73,81.79
304,Phibro Animal Health,Teaneck,New Jersey,Health Care & Life Sciences,29,74.84,84.44,59.92,80.26
