Rank,Company,Industry,City,State,Zip,Website,Employees,Revenue (in millions),Valuation (in millions),Profits (in millions),Ticker,CEO
435,WEC Energy Group,Utilities: Gas and Electric,Milwaukee,Wisconsin,53203,wecenergygroup.com,"7,000","$8,893","$25,935","$1,332",WEC,Scott J. Lauber
436,BrightSpring Health Services,Health Care: Pharmacy and Other Services,Louisville,Kentucky,40222,brightspringhealth.com,"35,000","$8,826","$1,861",-$155,BGST,Jon B. Rousseau
437,Cintas,Diversified Outsourcing Services,Cincinnati,Ohio,45262,cintas.com,"44,500","$8,816","$69,695","$1,348",CTAS,Todd M. Schneider
438,Commercial Metals,Metals,Irving,Texas,75039,cmc.com,"13,022","$8,800","$6,800",$860,CMC,Peter R. Matt
439,Continental Resources,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73102,clr.com,"1,457","$8,732",,"$3,096",,Robert D. Lawler
440,Chesapeake Energy,"Mining, Crude-Oil Production",Oklahoma City,Oklahoma,73118,chk.com,"1,000","$8,721","$11,619","$2,419",CHK,Domenic J. Dell'Osso
441,CenterPoint Energy,Utilities: Gas and Electric,Houston,Texas,77002,centerpointenergy.com,"8,827","$8,696","$18,035",$917,CNP,Jason P. Wells
442,NGL Energy Partners,Pipelines,Tulsa,Oklahoma,74136,nglenergypartners.com,638,"$8,695",$763,$51,NGL,Michael Krimbill
443,DoorDash,Internet Services and Retailing,San Francisco,California,94107,https://ir.doordash.com,"19,300","$8,635","$55,640",-$558,DASH,Tony Xu
444,NOV,"Oil and Gas Equipment, Services",Houston,Texas,77042,nov.com,"33,676","$8,583","$7,691",$993,NOV,Clay C. Williams
445,Zoetis,Pharmaceuticals,Parsippany,New Jersey,7054,zoetis.com,"14,100","$8,544","$77,476","$2,344",ZTS,Kristin C. Peck
446,J.M. Smucker,Food Consumer Products,Orrville,Ohio,44667,jmsmucker.com,"5,800","$8,529","$13,364",-$91,SJM,Mark T. Smucker
447,Microchip Technology,Semiconductors and Other Electronic Components,Chandler,Arizona,85224,microchip.com,"22,600","$8,439","$48,478","$2,238",MCHP,Ganesh Moorthy
448,Dover,Industrial Machinery,Downers Grove,Illinois,60515,dovercorporation.com,"25,000","$8,438","$24,342","$1,057",DOV,Richard J. Tobin
449,Diamondback Energy,"Mining, Crude-Oil Production",Midland,Texas,79701,diamondbackenergy.com,"1,023","$8,412","$35,363","$3,143",FANG,Travis D. Stice
450,Avery Dennison,"Packaging, Containers",Mentor,Ohio,44060,averydennison.com,"35,000","$8,364","$17,976",$503,AVY,Dean M. Stander
